collection_name	track_name	artist_name	track_number	release_date	apple_collection_view_url	apple_track_view_url	youtube_collection_name	youtube_track_name	youtube_collection_view_url	youtube_track_view_url
東方うたうちれいでん (KARAOKE Ver)	why I wanna know(KARAOKE Ver)	IOSYS	14	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/why-i-wanna-know-karaoke-ver/1437878423?i=1437878532&uo=4	東方うたうちれいでん	why I wanna know(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=TjMVUWpO6UU
東方うたうちれいでん (KARAOKE Ver)	チャンティック三妖精のイタズラ大戦争(KARAOKE Ver)	IOSYS	15	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E3%83%81%E3%83%A3%E3%83%B3%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF%E4%B8%89%E5%A6%96%E7%B2%BE%E3%81%AE%E3%82%A4%E3%82%BF%E3%82%BA%E3%83%A9%E5%A4%A7%E6%88%A6%E4%BA%89-karaoke-ver/1437878423?i=1437878533&uo=4	東方うたうちれいでん	チャンティック三妖精のイタズラ大戦争(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=cUFcGU6CLDA
東方うたうちれいでん (KARAOKE Ver)	紅い咆哮(KARAOKE Ver)	IOSYS	16	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E7%B4%85%E3%81%84%E5%92%86%E5%93%AE-karaoke-ver/1437878423?i=1437878534&uo=4	東方うたうちれいでん	紅い咆哮(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=3VCoykbQAcI
東方うたうちれいでん (KARAOKE Ver)	be in love with you(KARAOKE Ver)	IOSYS	17	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/be-in-love-with-you-karaoke-ver/1437878423?i=1437878535&uo=4	東方うたうちれいでん	be in love with you(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=hUaJC0Ebpnc
東方うたうちれいでん (KARAOKE Ver)	恋の氷結おてんば湯けむりチルノ温泉(KARAOKE Ver)	IOSYS	18	2012-07-14 12:00:00 UTC	https://music.apple.com/jp/album/toho-utau-chireiden-karaoke-ver/1437878423?uo=4	https://music.apple.com/jp/album/%E6%81%8B%E3%81%AE%E6%B0%B7%E7%B5%90%E3%81%8A%E3%81%A6%E3%82%93%E3%81%B0%E6%B9%AF%E3%81%91%E3%82%80%E3%82%8A%E3%83%81%E3%83%AB%E3%83%8E%E6%B8%A9%E6%B3%89-karaoke-ver/1437878423?i=1437878536&uo=4	東方うたうちれいでん	恋の氷結おてんば湯けむりチルノ温泉(KARAOKE Ver)	https://music.youtube.com/browse/MPREb_0vvw2IwJxw2	https://music.youtube.com/watch?v=3rj_Y1xEzkY
JULIANA’S TOHO Vol.2	Marisa is Back (feat. 桃箱)	katsu	2	2012-12-30 12:00:00 UTC	https://music.apple.com/jp/album/julianas-toho-vol-2/1437891625?uo=4	https://music.apple.com/jp/album/marisa-is-back-feat-%E6%A1%83%E7%AE%B1/1437891625?i=1437891629&uo=4	JULIANA’S TOHO Vol.2	Marisa is Back（feat. momobako）	https://music.youtube.com/browse/MPREb_HMFVWvOuJLv	https://music.youtube.com/watch?v=frg_I83QsE0
東方変波相	東方の主題に拠る序曲	外柿山	1	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/%E6%9D%B1%E6%96%B9%E3%81%AE%E4%B8%BB%E9%A1%8C%E3%81%AB%E6%8B%A0%E3%82%8B%E5%BA%8F%E6%9B%B2/1528288061?i=1528288062&uo=4	東方変波相 (変容する波形と位相。)	東方の主題に拠る序曲	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=rhD-a_9_Z9E
東方変波相	チルノフェイズ	外柿山	2	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/%E3%83%81%E3%83%AB%E3%83%8E%E3%83%95%E3%82%A7%E3%82%A4%E3%82%BA/1528288061?i=1528288063&uo=4	東方変波相 (変容する波形と位相。)	チルノフェイズ	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=n0PAbUk51IU
東方変波相	射命丸カウンターポイント	外柿山	3	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/%E5%B0%84%E5%91%BD%E4%B8%B8%E3%82%AB%E3%82%A6%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%88/1528288061?i=1528288064&uo=4	東方変波相 (変容する波形と位相。)	射命丸カウンターポイント	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=FSZDbwJQAjo
東方変波相	小さな欲望の星空	外柿山	4	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/%E5%B0%8F%E3%81%95%E3%81%AA%E6%AC%B2%E6%9C%9B%E3%81%AE%E6%98%9F%E7%A9%BA/1528288061?i=1528288065&uo=4	東方変波相 (変容する波形と位相。)	小さな欲望の星空	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=PMF6C9sAR58
東方変波相	いちごフェイズ	外柿山	5	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/%E3%81%84%E3%81%A1%E3%81%94%E3%83%95%E3%82%A7%E3%82%A4%E3%82%BA/1528288061?i=1528288066&uo=4	東方変波相 (変容する波形と位相。)	いちごフェイズ	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=3E11rAzXWO0
東方変波相	幻想科学変波相	外柿山	6	2013-01-27 12:00:00 UTC	https://music.apple.com/jp/album/touhou-hempasou/1528288061?uo=4	https://music.apple.com/jp/album/%E5%B9%BB%E6%83%B3%E7%A7%91%E5%AD%A6%E5%A4%89%E6%B3%A2%E7%9B%B8/1528288061?i=1528288067&uo=4	東方変波相 (変容する波形と位相。)	幻想科学変波相	https://music.youtube.com/browse/MPREb_qO0wFoEM1Lx	https://music.youtube.com/watch?v=XOjQFhodbtQ
